Potential applied (V);Time (s);WE(1).Current (A);WE(1).Potential (V);Scan;Index;Q+;Q-;Current range
-0,3173828125;42,0986788937111;-1,74652099609375E-07;-0,3165283203125;1;130;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,31982421875;42,3428198930947;-1,7901611328125E-07;-0,31890869140625;1;131;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,322265625;42,5869608924783;-1,83135986328125E-07;-0,321319580078125;1;132;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,32470703125;42,8311018918619;-1,8707275390625E-07;-0,32379150390625;1;133;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,3271484375;43,0752428912455;-1,91314697265625E-07;-0,3262939453125;1;134;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,32958984375;43,3193838906291;-1,9512939453125E-07;-0,32867431640625;1;135;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,33203125;43,5635248900127;-1,99005126953125E-07;-0,330963134765625;1;136;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,33447265625;43,8076658893963;-2,02911376953125E-07;-0,333526611328125;1;137;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,3369140625;44,0518068887799;-2,07061767578125E-07;-0,33599853515625;1;138;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,33935546875;44,2959478881635;-2,109375E-07;-0,338287353515625;1;139;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,341796875;44,5400888875471;-2,14935302734375E-07;-0,3408203125;1;140;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,34423828125;44,7842298869307;-2,1868896484375E-07;-0,343170166015625;1;141;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,3466796875;45,0283708863143;-2,22991943359375E-07;-0,345550537109375;1;142;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,34912109375;45,2725118856979;-2,27081298828125E-07;-0,348052978515625;1;143;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,3515625;45,5166528850815;-2,31109619140625E-07;-0,350433349609375;1;144;0,000377255453169346;-1,23335473239422E-05;100 nA;
